# All times in milliseconds (msec)
# Column 1 = input data size
# Column 2 = array map insert
# Column 3 = linked map insert
# Column 4 = array map erase
# Column 5 = linked map erase
# Column 6 = array map contains
# Column 7 = linked map contains
# Column 8 = array map find range
# Column 9 = linked map find range
# Column 10 = array map next key
# Column 11 = linked map next key
# Column 12 = array map sorted keys
# Column 13 = linked map sorted keys
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
2000 0.00 0.00 0.05 16.11 0.02 7.98 0.04 14.84 0.04 15.42 0.30 8.21 
4000 0.00 0.00 0.10 66.72 0.05 32.44 0.08 61.08 0.08 62.38 0.64 36.39 
6000 0.00 0.00 0.15 149.34 0.07 72.84 0.14 135.79 0.12 134.80 0.93 74.60 
8000 0.00 0.00 0.30 268.38 0.10 137.51 0.16 224.61 0.16 223.88 1.26 128.82 
10000 0.00 0.00 0.26 400.10 0.12 199.60 0.20 349.72 0.20 349.16 1.63 200.75 
12000 0.00 0.00 0.37 581.67 0.15 290.56 0.22 514.48 0.23 488.89 1.95 293.12 
14000 0.00 0.00 0.34 789.32 0.17 389.79 0.24 636.17 0.25 634.59 2.27 392.38 
16000 0.00 0.00 0.44 1020.13 0.20 509.54 0.27 832.91 0.28 823.82 2.60 511.64 
18000 0.00 0.00 0.44 1294.71 0.25 646.70 0.30 1036.29 0.30 1011.22 2.99 646.75 
20000 0.00 0.00 0.50 1608.16 0.25 801.62 0.33 1203.05 0.33 1210.61 3.44 809.39 
